pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_mnum
Kepler-876,Kepler-876 b,Transit,1,5.14438011,0.00002466,-0.00002466,0,,,,,,,,,,,,,,,,,0.128,0.009,-0.008,0,735.00,36.62,-39.85,0,5060.00,63.15,-63.75,0,0.81,0.04,-0.04,0,,,,,0
Kepler-877,Kepler-877 b,Transit,1,18.45847097,0.00004779,-0.00004779,0,,,,,,,,,,,,,,,,,0.189,0.012,-0.024,0,572.00,38.11,-36.45,0,5261.00,66.39,-67.02,0,0.85,0.04,-0.05,0,,,,,0
Kepler-878,Kepler-878 b,Transit,1,25.94220330,0.00010290,-0.00010290,0,,,,,,,,,,,,,,,,,0.172,0.011,-0.009,0,567.00,28.37,-30.37,0,5044.00,49.53,-47.72,0,0.81,0.04,-0.04,0,,,,,0
Kepler-879,Kepler-879 b,Transit,1,33.38559380,0.00014200,-0.00014200,0,,,,,,,,,,,,,,,,,0.229,0.059,-0.025,0,772.00,162.65,-75.25,0,5792.00,96.05,-120.23,0,1.02,0.06,-0.06,0,,,,,0
KOI-142,Kepler-88 d,Radial Velocity,3,1403.00000000,14.00000000,-14.00000000,0,,,,0,0.410000,0.030000,-0.030000,0,89.000,,,0,3.05046,0.16002,-0.16002,0,,,,0,339.00,25.00,-23.00,0,5466.00,60.00,-60.00,0,0.99,0.02,-0.02,0,,,,0,0
Kepler-880,Kepler-880 b,Transit,1,7.71468975,0.00001918,-0.00001918,0,,,,,,,,,,,,,,,,,0.237,0.094,-0.039,0,673.00,265.15,-109.06,0,6761.00,98.88,-97.72,0,1.46,0.23,-0.13,0,,,,,0
Kepler-881,Kepler-881 b,Transit,1,4.44448017,0.00002530,-0.00002530,0,,,,,,,,,,,,,,,,,0.159,0.038,-0.029,0,1364.00,327.93,-149.53,0,5961.00,102.59,-115.91,0,1.06,0.08,-0.07,0,,,,,0
Kepler-882,Kepler-882 b,Transit,1,3.98953967,0.00000976,-0.00000976,0,,,,,,,,,,,,,,,,,0.110,0.013,-0.008,0,525.00,60.76,-42.07,0,5476.00,141.55,-156.54,0,0.90,0.05,-0.05,0,,,,,0
Kepler-883,Kepler-883 b,Transit,1,12.98495573,0.00003436,-0.00003436,0,,,,,,,,,,,,,,,,,0.159,0.015,-0.012,0,549.00,49.82,-39.23,0,6116.00,64.67,-61.19,0,1.06,0.05,-0.05,0,,,,,0
Kepler-884,Kepler-884 b,Transit,1,5.69919514,0.00001359,-0.00001359,0,,,,,,,,,,,,,,,,,0.110,0.004,-0.004,0,420.00,15.95,-14.26,0,5715.00,62.90,-52.56,0,1.00,0.03,-0.03,0,,,,,0
